id date pair_number auditory
1 СР 5 507
2 СР 3 507
3 СР 3 505
4 СР 2 507
5 СР 3 514
6 ЧТ 2 622а
7 ПН 4 505
8 ВТ 5 505
9 ВТ 3 505
10 ВТ 2 505
11 ЧТ 5 505
12 ЧТ 6 505
13 ПН 3 507
14 ВТ 5 528
15 ЧТ 4 505
16 ПТ 3 505
17 ПТ 2 505
18 СБ 5 605
19 СР 4 507
20 ПН 2 505
21 ВТ 2 507
22 СР 5 505
23 СР 6 505
24 СР 1 625
25 ЧТ 1 528
26 ЧТ 2 528
27 ЧТ 3 528
28 ВТ 4 511
29 ВТ 2 623
30 СР 2 628
31 ВТ 4 514
32 СР 5 605
33 СР 5 601
34 СР 2 612
35 СР 3 601
36 СР 3 622а
37 СР 3 602
38 СР 3 608
39 СР 2 622а
40 СР 2 601
41 СР 2 602
42 СР 2 608
43 СР 3 612
44 ЧТ 5 503
45 ЧТ 6 503
46 ПН 6 503
47 ЧТ 7 503
48 ПН 7 503
49 СР 6 621
50 ЧТ 6 532
51 ЧТ 4 623
52 ЧТ 5 628
53 СБ 5 616
54 СБ 5 601
55 ВТ 2 614
56 ВТ 5 612
57 СР 1 515
58 ВТ 1 628
59 СР 1 621
60 ЧТ 7 621
61 СР 4 517
62 ВТ 3 628
63 ЧТ 1 605
64 СР 2 532
65 ЧТ 6 608
66 СР 5 632
67 ПТ 6 632
68 СР 4 622
69 ПН 1 611
70 ЧТ 7 517
71 СР 1 611
72 ВТ 5 517
73 ПН 4 605
74 ПН 3 611
75 ПТ 1 532
76 ЧТ 3 605
77 ЧТ 4 611
78 СР 5 532
79 СР 2 622
80 СР 1 623
81 ПН 1 625
82 ПТ 2 517
83 СР 3 532
84 СР 3 515
85 ПН 1 515
86 ПТ 3 528
87 ПТ 2 515
88 ПН 2 509
89 ПТ 2 513
90 ПТ 2 605
91 ЧТ 5 625
92 СР 3 621
93 ЧТ 3 622
94 ВТ 2 509
95 ПН 1 628
96 ЧТ 3 601
97 ПН 4 601
98 ВТ 3 605
99 ЧТ 3 532
100 ПТ 1 612
101 ВТ 2 532
102 СР 4 514
103 СР 2 625
104 ПТ 2 532
105 ВТ 1 632
106 ПН 3 602
107 ПН 1 526
108 СР 5 528
109 ПН 2 614
110 ПН 2 526
111 СР 5 514
112 ПН 2 605
113 ЧТ 4 625
114 СР 1 605
115 ПТ 1 608
116 ПН 1 622а
117 ПН 1 602
118 ПН 3 622а
119 СР 4 528
120 СР 4 511
121 ПН 3 623
122 ПН 1 514
123 ВТ 3 612
124 СР 4 625
125 ЧТ 1 622
126 ПН 2 602
127 СР 2 605
128 ЧТ 4 526
129 СР 1 526
130 СР 2 526
131 ПН 3 605
132 ЧТ 3 509
133 ЧТ 4 509
134 ПН 4 532
135 СР 5 513
136 ПТ 5 517
137 ПТ 3 621
138 ПТ 2 622
139 ПТ 1 513
140 СР 6 601
141 ПТ 4 515
142 ПН 2 622а
143 СР 6 623
144 ВТ 3 532
145 ПТ 4 517
146 ПН 1 612
147 ЧТ 4 511
148 ПН 1 605
149 ПТ 1 526
150 ПТ 1 622а
151 ВТ 1 605
152 ПН 2 611
153 ПТ 4 601
154 ВТ 2 513
155 СР 2 513
156 ПТ 2 622а
157 ВТ 1 526
158 СР 3 625
159 ПТ 2 526
160 ЧТ 3 515
161 ПТ 3 526
162 ПТ 3 515
163 СР 3 628
164 СР 3 611
165 ПТ 2 623
166 ПН 1 528
167 ПТ 2 528
168 ПТ 1 528
169 СР 4 605
170 ЧТ 3 511
171 ЧТ 1 621
172 ВТ 3 625
173 ПН 6 625
174 ПТ 3 605
175 СР 2 511
176 ПТ 3 612
177 ПТ 1 623
178 ВТ 1 612
179 ВТ 2 611
180 ЧТ 4 602
181 ПН 1 509
182 СР 2 611
183 ЧТ 3 623
184 ПТ 1 511
185 ПН 2 623
186 СР 3 605
187 ПТ 1 625
188 ПН 2 625
189 СР 3 623
190 ПТ 2 625
191 ПН 3 526
192 ПТ 2 511
193 ПТ 3 532
194 СР 3 513
195 ВТ 1 528
